Amount,Greedy Time,Greedy,DPTime,DP
2095,2.90E-05,37,0.010722087,37
2096,1.69E-05,37,0.006642139,37
2097,1.75E-05,38,0.006602898,38
2098,1.69E-05,38,0.006688626,38
2099,1.63E-05,39,0.006579352,39
2100,1.39E-05,35,0.007752383,35
2101,1.45E-05,36,0.006561241,36
2102,1.57E-05,36,0.006805144,36
2103,2.11E-05,37,0.007084667,37
2104,1.45E-05,37,0.006589012,37
2105,1.51E-05,38,0.006931322,38
2106,1.51E-05,36,0.006557619,36
2107,2.72E-05,37,0.007552551,37
2108,2.35E-05,37,0.010854302,37
2109,1.51E-05,38,0.006810578,38
2110,1.57E-05,38,0.006607124,38
2111,1.87E-05,39,0.00684982,39
2112,1.45E-05,36,0.006756243,36
2113,1.75E-05,37,0.006762884,37
2114,1.51E-05,37,0.006784618,37
2115,1.63E-05,38,0.006768317,38
2116,1.57E-05,38,0.006839556,38
2117,1.57E-05,39,0.006706738,39
2118,1.45E-05,37,0.009315417,37
2119,1.51E-05,38,0.006765299,38
2120,1.51E-05,38,0.010684052,38
2121,1.75E-05,39,0.006669911,39
2122,1.75E-05,39,0.006739339,39
2123,1.57E-05,40,0.010976253,40
2124,1.63E-05,36,0.010961764,36
2125,1.63E-05,37,0.006802126,37
2126,1.51E-05,37,0.006641536,37
2127,1.99E-05,38,0.006696474,38
2128,1.45E-05,38,0.006962112,38
2129,1.57E-05,39,0.006660251,39
2130,1.93E-05,37,0.006815407,37
2131,1.51E-05,38,0.006848008,38
2132,1.81E-05,38,0.006656629,38
2133,2.05E-05,39,0.00851609,39
2134,1.57E-05,39,0.007946781,39
2135,1.81E-05,40,0.006695871,40
2136,1.51E-05,37,0.007113646,36
2137,1.63E-05,38,0.00682386,37
2138,1.69E-05,38,0.006842575,37
2139,1.69E-05,39,0.006749602,38
2140,2.17E-05,39,0.006779184,38
2141,2.11E-05,40,0.007502442,39
2142,1.51E-05,38,0.010428074,37
2143,1.87E-05,39,0.006782203,38
2144,2.17E-05,39,0.006818426,38
2145,1.93E-05,40,0.006712171,39
2146,1.63E-05,40,0.009859973,39
2147,1.69E-05,41,0.010263862,40
2148,1.51E-05,36,0.006709153,36
2149,1.45E-05,37,0.007256124,37
2150,1.69E-05,37,0.007076819,37
2151,1.81E-05,38,0.00674598,38
2152,1.57E-05,38,0.007433014,38
2153,1.69E-05,39,0.00680937,39
2154,1.87E-05,37,0.006745376,37
2155,1.69E-05,38,0.007922632,38
2156,1.69E-05,38,0.006746583,38
2157,1.99E-05,39,0.006880006,39
2158,1.57E-05,39,0.006884835,39
2159,1.75E-05,40,0.006784014,40
2160,1.93E-05,36,0.00901416,36
2161,1.51E-05,37,0.006852234,37
2162,1.51E-05,37,0.009853936,37
2163,1.45E-05,38,0.008705054,38
2164,1.81E-05,38,0.006768921,38
2165,1.57E-05,39,0.006850423,39
2166,1.99E-05,37,0.006981431,37
2167,1.69E-05,38,0.006788844,38
2168,1.63E-05,38,0.007085271,38
2169,1.57E-05,39,0.006782807,39
2170,1.81E-05,39,0.007016447,39
2171,2.11E-05,40,0.01076314,40
2172,1.63E-05,37,0.006795485,37
2173,1.75E-05,38,0.006765902,38
2174,1.57E-05,38,0.008470207,38
2175,1.57E-05,39,0.006809974,39
2176,3.14E-05,39,0.007483123,39
2177,2.60E-05,40,0.007954629,40
2178,2.84E-05,38,0.008765427,38
2179,1.63E-05,39,0.006858272,39
2180,1.75E-05,39,0.006980223,39
2181,1.57E-05,40,0.007228353,40
2182,2.17E-05,40,0.009511022,40
2183,1.69E-05,41,0.007026106,41
2184,1.63E-05,37,0.006835934,37
2185,1.69E-05,38,0.01136505,38
2186,1.87E-05,38,0.007071385,38
2187,1.63E-05,39,0.006834727,39
2188,1.93E-05,39,0.006985053,39
2189,1.81E-05,40,0.007660013,40
2190,1.51E-05,38,0.006852838,38
2191,2.17E-05,39,0.006956074,39
2192,1.63E-05,39,0.007461389,39
2193,1.69E-05,40,0.006876383,40
2194,1.51E-05,40,0.007177036,40
2195,1.63E-05,41,0.006847405,41
2196,1.81E-05,38,0.006858272,37
2197,2.48E-05,39,0.007065952,38
2198,1.57E-05,39,0.006868535,38
2199,1.75E-05,40,0.007001957,39
2200,1.45E-05,40,0.009319039,39
2000,2.96E-05,15,0.005458846,15
2001,1.57E-05,16,0.006665081,16
2002,1.45E-05,17,0.005132233,17
2003,1.39E-05,18,0.00726035,18
2004,1.45E-05,19,0.005277126,19
2005,1.33E-05,20,0.005249355,17
2006,1.51E-05,16,0.005272296,16
2007,1.57E-05,17,0.005165438,17
2008,1.39E-05,18,0.005160004,18
2009,1.51E-05,19,0.005164834,19
2010,1.63E-05,20,0.005064013,20
2011,1.45E-05,21,0.007405243,18
2012,1.45E-05,17,0.005045901,17
2013,1.93E-05,16,0.008598196,16
2014,1.45E-05,17,0.005249355,17
2015,1.51E-05,18,0.005050127,18
2016,1.45E-05,19,0.005090576,19
2017,1.63E-05,20,0.005040467,19
2018,1.57E-05,21,0.005041675,18
2019,1.63E-05,17,0.005076087,17
2020,1.51E-05,18,0.005051938,18
2021,1.69E-05,19,0.00507488,19
2022,1.39E-05,20,0.005149137,18
2023,1.69E-05,21,0.005073068,19
2024,1.39E-05,15,0.005099028,15
2025,1.51E-05,16,0.00510748,16
2026,1.39E-05,17,0.00508635,17
2027,2.05E-05,18,0.005119555,18
2028,1.33E-05,19,0.005096613,19
2029,1.57E-05,20,0.005300067,20
2030,1.99E-05,16,0.005067635,16
2031,1.75E-05,17,0.006284737,17
2032,1.27E-05,18,0.005078502,18
2033,1.57E-05,19,0.0051594,19
2034,1.51E-05,20,0.005100236,20
2035,1.51E-05,21,0.005280748,19
2036,1.39E-05,17,0.005089369,17
2037,1.57E-05,16,0.005108084,16
2038,1.33E-05,17,0.005099632,17
2039,2.17E-05,18,0.00513344,18
2040,1.63E-05,19,0.005083935,19
2041,1.75E-05,20,0.005132233,20
2042,1.51E-05,21,0.005556649,18
2043,1.63E-05,17,0.005125592,17
2044,1.57E-05,18,0.005348365,18
2045,1.57E-05,19,0.00511231,19
2046,1.45E-05,20,0.005427453,20
2047,1.45E-05,21,0.005314557,21
2048,1.45E-05,22,0.005661093,19
2049,1.51E-05,18,0.005132837,18
2050,1.45E-05,17,0.005788478,17
2051,1.39E-05,18,0.005118951,18
2052,1.33E-05,19,0.00601427,19
2053,1.57E-05,20,0.00523064,20
2054,1.33E-05,21,0.005269278,20
2055,1.45E-05,22,0.005249959,19
2056,1.39E-05,18,0.006214101,18
2057,1.51E-05,19,0.005326028,19
2058,1.45E-05,20,0.00671519,20
2059,1.69E-05,21,0.005141893,19
2060,1.45E-05,22,0.005388814,20
